Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun Metal;84980 сом;"Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Gun MetalОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 512 Гб; вес от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-hn482-amd-ryzen-7-3750h-16gb-ddr4-512gb-ssd-nvidia-gtx1650-fhd-dos-gun-metal
Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;71060 сом;"Ноутбук Asus X509J Intel Core i5-1035G1 12GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent SilverОперационная система DOS; 4х-ядерный процессор 1.0 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 12 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i5-1035g1-12gb-ddr4-512gb-ssd-nvidia-mx330-fhd-dos-transparent-silver
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 128GB SSD DOS Black;41490 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память SSD 128 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-128gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черный;44510 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 256 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-12gb-ddr-500gb-hdd-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Gun Metal;84120 сом;"Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Gun MetalОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.2...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-hn482-amd-ryzen-7-3750h-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-gun-metal
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent Silver;75790 сом;"Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Transparent SilverОперационная система DOS; 4х-ядерный процессор 1.0 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 20 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509j-intel-core-i5-1035g1-20gb-ddr4-512gb-ssd-nvidia-mx330-fhd-dos-transparent-silver
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 128GB SSD DOS Black;42790 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память SSD 128 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-128gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 256GB SSD Intel HD Graphics 620 HD черный;40630 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-12gb-ddr-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Gun Metal;88420 сом;"Ноутбук Asus FX505DT-HN482 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Gun MetalОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.2...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-hn482-amd-ryzen-7-3750h-16gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-gun-metal
Ноутбук Asus X515MA Intel Celeron N4120 4GB DDR4 512GB SSD FHD DOS Grey;36390 сом;"Ноутбук Asus X515MA Intel Celeron N4120 4GB DDR4 512GB SSD FHD DOS GreyОперационная система Windows 10; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-celeron-n4120-4gb-ddr4-512gb-ssd-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 256GB SSD DOS Black;40970 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 4 Гб; физическая память SSD 256 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-4gb-ddr4-256gb-ssd-dos-black
Ноутбук Dell Vostro 3500 Intel Core i3-1115G4 4GB DDR4 1000GB HDD DOS Urban Grey;41920 сом;"Ноутбук Dell Vostro 3500 Intel Core i3-1115G4 4GB DDR4 1000GB HDD DOS Urban GreyОперационная система DOS; 2х-ядерный процессор 3.0 ГГц; диагональ экрана 15.6"" TN 1366x768; видеоадаптер встроенный; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб; DVDRW нет; вес от 1.78 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-vostro-3500-intel-core-i3-1115g4-4gb-ddr4-1000gb-hdd-dos-urban-grey
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;86700 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 512 Гб; вес от 2.7 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-16gb-ddr4-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 512GB SSD FHD DOS Grey;38120 сом-1%38120 сом;"Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 512GB SSD FHD DOS GreyОперационная система Windows 10; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; DVDRW нет; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-celeron-n4120-8gb-ddr4-512gb-ssd-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 256GB SSD DOS Black;43130 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память SSD 256 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-256gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 120GB SSD Intel HD Graphics 620 HD DOS черный;35440 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 120GB SSD Intel HD Graphics 620 HD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 120 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-120gb-ssd-intel-hd-graphics-620-hd-dos-chernyy
Ноутбук MSI GF63 Thin 9SCSR-898XRU Intel Core i5-9300H 8GB DDR4 1000GB HDD Nvidia GTX 1650Ti 4GB FHD DOS черный;82840 сом;"Ноутбук MSI GF63 Thin 9SCSR-898XRU Intel Core i5-9300H 8GB DDR4 1000GB HDD Nvidia GTX 1650Ti 4GB FHD DOS черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-9300H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GTX 1650Ti; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя HDD: 1000 Gb; Вес: от 1.86 кг";На складе;https://www.kivano.kg/product/view/noutbuk-msi-gf63-thin-9scsr-898xru-intel-core-i5-9300h-8gb-ddr4-1000gb-hdd-nvidia-gtx-1650ti-4gb-fhd-dos-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;83260 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-8gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 Grey;37170 сом;"Ноутбук Asus X515MA Intel Celeron N4120 8GB DDR4 240GB SSD W10 GreyОперационная система Windows 10; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 240 Гб; DVDRW нет; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-celeron-n4120-8gb-ddr4-240gb-ssd-w10-grey
Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 1000GB HDD Intel HD Graphics 620 HD DOS красный;38470 сом;"Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 1000GB HDD Intel HD Graphics 620 HD DOS красныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-4gb-ddr-1000gb-hdd-intel-hd-graphics-620-hd-dos-krasnyy
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS Black;44870 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 512GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память SSD 512 Гб; вес от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-512gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD черный;38730 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-1000gb-hdd-128gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;87560 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-16gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 512GB SSD FHD DOS Grey;37010 сом-1%37000 сом;"Ноутбук Asus X515MA Intel Pentium N5030 4GB DDR4 512GB SSD FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 4 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-4gb-ddr4-512gb-ssd-fhd-dos-grey
Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 240GB SSD Intel HD Graphics 620 HD DOS красный;39330 сом-1%39330 сом;"Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 240GB SSD Intel HD Graphics 620 HD DOS красныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 240 Gb; Вес: от 1.85 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15iil05-intel-core-i3-1005g1-4gb-ddr-240gb-ssd-intel-hd-graphics-620-hd-dos-krasnyy
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS Black;45380 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 500 Гб + SSD 128 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-500gb-hdd-128gb-ssd-dos-black
Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 Black;81980 сом;"Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 BlackОперационная система Windows 10; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; экран 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx505dt-amd-ryzen-7-3750h-8gb-ddr4-256gb-ssd-nvidia-gtx1650-fhd-w10-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD черный;40200 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-1000gb-hdd-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;91860 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 24 Гб; накопитель HDD 1000 Гб + SSD 256 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-24gb-ddr4-1000gb-hdd-256gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Dell XPS 7390-7019 Intel Core i7-1065G7 8GB LPDDR4 256GB SSD FHD W10 Silver;107740 сом;"Ноутбук Dell XPS 7390-7019 Intel Core i7-1065G7 8GB LPDDR4 256GB SSD FHD W10 SilverОперационная система Windows 10; 4х-ядерный процессор 1.3 ГГц; видеоадаптер встроенный; диагональ экрана 13.4"" IPS 1920x1080 сенсорный; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; DVDRW нет; вес от 1.68...";На складе;https://www.kivano.kg/product/view/noutbuk-dell-xps-7390-7019-intel-core-i7-1065g7-8gb-lpddr4-256gb-ssd-fhd-w10-silver
Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 512GB SSD FHD DOS Grey;39160 сом;"Ноутбук Asus X515MA Intel Pentium N5030 8GB DDR4 512GB SSD FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x515ma-intel-pentium-n5030-8gb-ddr4-512gb-ssd-fhd-dos-grey
Ноутбук Lenovo IdeaPad L340-15API AMD Ryzen 53500U 8GB DDR 1000GB HDD Radeon Vega 8 Graphics HD DOS серый;41490 сом;"Ноутбук Lenovo IdeaPad L340-15API AMD Ryzen 53500U 8GB DDR 1000GB HDD Radeon Vega 8 Graphics HD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 5-3500U; Разрешение экрана: 1366x768 HD; Графический контроллер: Radeon Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR;Объем накопителя HDD: 1000 Gb; Вес: от 2.2 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-l340-15api-amd-ryzen-53500u-8gb-ddr-1000gb-hdd-radeon-vega-8-graphics-hd-dos-seryy
