Названия;Описание товара;в наличие товара;Ссылка на товар
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS Black;46070 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 500 Гб + SSD 256 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-500gb-hdd-256gb-ssd-dos-black
Ноутбук Asus X509JA Intel Core i7-1065G7 8GB DDR4 256GB SSD FHD W10 Slate Gray;82410 сом;"Ноутбук Asus X509JA Intel Core i7-1065G7 8GB DDR4 256GB SSD FHD W10 Slate GrayОперационная система Windows 10; 4х-ядерный процессор 1.3 ГГц; видеоадаптер встроенный; экран 15.6 ""IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-x509ja-intel-core-i7-1065g7-8gb-ddr4-256gb-ssd-fhd-w10-slate-gray
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD черный;42360 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 512 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-1000gb-hdd-512gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;85840 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1660 FHD DOS Grey;78140 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1660 FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-8gb-ddr4-512gb-ssd-nvidia-gtx1660-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD DOS Black;45820 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб + SSD 128 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-128gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD Intel HD Graphics 620 HD черный;35440 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 1000GB HDD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-1000gb-hdd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;90140 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-16gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey;98740 сом-3%96150 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1660Ti FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-16gb-ddr4-512gb-ssd-nvidia-gtx1660ti-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD DOS Black;46510 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб + SSD 256 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-256gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 256GB SSD Intel HD Graphics 620 HD черный;36310 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;94430 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 24GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 24 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-24gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey;96150 сом-3%93580 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб +  SSD 512 Гб; вес от 2.3...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1660ti-fhd-dos-grey
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD DOS Black;47970 сом;"Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 512GB SSD DOS BlackОперационная система DOS; 2х-ядерный процессор 1.2 Ггц; встроенная графика; экран 15.6"" TN HD; объем оперативной памяти 8 Гб; физическая память HDD 1000 Гб + SSD 512 Гб; вес от 1.85...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-15iil-intel-core-i3-1005g1-8gb-ddr4-1000gb-hdd-512gb-ssd-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD черный;37860 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 128 Gb; Вес: от...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-500gb-hdd-128gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 32GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth Black;98730 сом;"Ноутбук Asus FX705DT-AU027 AMD Ryzen 7-3750H 32GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650 FHD DOS Stealth BlackОперационная система DOS; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; диагональ экрана 17.3"" IPS 1920x1080; объем оперативной памяти 32 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.7...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx705dt-au027-amd-ryzen-7-3750h-32gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650-fhd-dos-stealth-black
Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS Grey;101730 сом-3%99160 сом;"Ноутбук Asus FX506LU Intel Core i5-10300H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1660Ti FHD DOS GreyОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб +  SSD 512 Гб; вес от 2.3...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506lu-intel-core-i5-10300h-16gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1660ti-fhd-dos-grey
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черный;39170 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 500 Gb; Объем накопителя SSD: 256Gb; Вес: от 1.6...";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-500gb-hdd-256gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;84980 сом;"Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS BlackОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506l-intel-core-i5-10300h-8gb-ddr4-512gb-ssd-nvidia-gtx1650ti-fhd-dos-black
Ноутбук Dell Vostro 14 3400 Intel Core i3-1115G4 8GB DDR4 120GB SSD DOS Urban Grey;39680 сом;"Ноутбук Dell Vostro 14 3400 Intel Core i3-1115G4 8GB DDR4 120GB SSD DOS Urban GreyОперационная система DOS; 2х-ядерный процессор 3.0 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 8 Гб; накопитель SSD 120 Гб; DVDRW нет; вес от 1.59 кг";На складе;https://www.kivano.kg/product/view/noutbuk-dell-vostro-14-3400-intel-core-i3-1115g4-8gb-ddr4-120gb-ssd-dos-urban-grey
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серый;44510 сом;"Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серыйТип: ноутбук; Процессор: AMD Ryzen 3-3200U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s340-15api-amd-ryzen-3-3200u-4gb-ddr-1000gb-hdd-128gb-ssd-amd-radeon-graphics-fhd-seryy
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD Intel HD Graphics 620 HD черный;35280 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 500GB HDD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 500 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-500gb-hdd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX506L Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;93580 сом-3%91000 сом;"Ноутбук Asus FX506L Intel Core i5-10300H 16GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS BlackОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель SSD 512 Гб; вес от 2.3 кг";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506l-intel-core-i5-10300h-16gb-ddr4-512gb-ssd-nvidia-gtx1650ti-fhd-dos-black
Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 4GB DDR 128GB SSD Intel HD Graphics FHD DOS серый;39330 сом;"Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 4GB DDR 128GB SSD Intel HD Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 128 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-v15-iil-intel-core-i3-1005g1-4gb-ddr-128gb-ssd-intel-hd-graphics-fhd-dos-seryy
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics FHD серый;45820 сом;"Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics FHD серыйТип: ноутбук; Процессор: AMD Ryzen 3-3200U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 256 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s340-15api-amd-ryzen-3-3200u-4gb-ddr-1000gb-hdd-256gb-ssd-amd-radeon-graphics-fhd-seryy
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 512GB SSD Intel HD Graphics 620 HD черный;38040 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 4GB DDR 512GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-4gb-ddr-512gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;91000 сом-3%88420 сом;"Ноутбук Asus FX506L Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650Ti FHD DOS BlackОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.3...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506l-intel-core-i5-10300h-8gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650ti-fhd-dos-black
Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 4GB DDR 256GB SSD Intel HD Graphics FHD DOS серый;41490 сом;"Ноутбук Lenovo Ideapad V15-IIL Intel Core i3-1005G1 4GB DDR 256GB SSD Intel HD Graphics FHD DOS серыйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 256 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-v15-iil-intel-core-i3-1005g1-4gb-ddr-256gb-ssd-intel-hd-graphics-fhd-dos-seryy
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серый;46670 сом;"Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серыйТип: ноутбук; Процессор: AMD Ryzen 3-3200U; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: AMD Radeon Graphics; Объем оперативной памяти: 8 Gb DDR; Объем накопителя HDD: 1000 Gb; Объем накопителя SSD: 128 Gb; Вес: от 1.8 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s340-15api-amd-ryzen-3-3200u-8gb-ddr-1000gb-hdd-128gb-ssd-amd-radeon-graphics-fhd-seryy
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black;26360 сом;"Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS BlackОперационная система DOS; 2х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 11.6"" TN 1366х768; объем оперативной памяти 4 Гб; накопитель eMMC 64 Гб; вес от 1.52 кг";На складе;https://www.kivano.kg/product/view/noutbuk-acer-travelmate-b1-tmb118-m-intel-celeron-n4120-4gb-ddr4-64gb-emmc-dos-black
Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 512GB SSD Intel HD Graphics 620 HD черный;42790 сом;"Ноутбук Lenovo IdeaPad S145-14IKB 81VB Intel Core i3-7020U 12GB DDR 512GB SSD Intel HD Graphics 620 HD черныйТип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-7020U; Разрешение экрана: 1366х768 HD; Графический контроллер: Intel UHD Graphics 620; Объем оперативной памяти: 12 Gb DDR; Объем накопителя SSD: 512 Gb; Вес: от 1.6 кг";На складе;https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-s145-14ikb-81vb-intel-core-i3-7020u-12gb-ddr-512gb-ssd-intel-hd-graphics-620-hd-chernyy
Ноутбук Asus FX506L Intel Core i5-10300H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;96580 сом-3%94000 сом;"Ноутбук Asus FX506L Intel Core i5-10300H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650Ti FHD DOS BlackОперационная система DOS; 4х-ядерный процессор 2.5 ГГц; видеоадаптер дискретный; диагональ экрана 15.6"" IPS 1920x1080; объем оперативной памяти 16 Гб; накопитель HDD 1000 Гб + SSD 512 Гб; вес от 2.3...";На складе;https://www.kivano.kg/product/view/noutbuk-asus-fx506l-intel-core-i5-10300h-16gb-ddr4-1000gb-hdd-512gb-ssd-nvidia-gtx1650ti-fhd-dos-black
